tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
alternative rock,Kid Rock,hard rock,rock,8292956,Uncle Kracker,Buckcherry,Nickelback,685879
Electro Hip Hop,Kid Sister,electronic,Hip-Hop,1966159,Amanda Blank,Rye Rye,Thunderheist,239041
swag,Kidd Kidd,G-Unit,under 2000 listeners,24557,G-Unit,A$AP Twelvyy,Rich Kidz,5737
rap,Killah Priest,wu-tang,Hip-Hop,1277759,Sunz of Man,Ras Kass,Killarmy,105011
Dirty South,Killer Mike,rap,Hip-Hop,3603121,El-P,Run the Jewels,Big K.R.I.T.,247873
atlanta,Kilo Ali,Dirty South,Hip-Hop,24983,Raheem The Dream,Drama feat. Outkast & Marsha Ambrosius,Fonzworth Bentley,4462
Cleveland,King Chip,seen live,Hip-Hop,106579,Chip tha Ripper,Chuck Inglish,Hit-Boy,8505
detroit,King Gordy,rap,Horrorcore,336335,DJ Clay,Project: Deadman,Anybody Killa,48278
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,King Tee,Hip-Hop,West Coast Rap,269233,Above the Law,Spice 1,MC Eiht,58546
underground hip hop,Kirk Knight,hip hop,Hip-Hop,137808,Mick Jenkins,Joey Bada$$,Nyck Caution,16366
rnb,Kirko Bangz,Hip-Hop,rap,805710,K Camp,August Alsina,Tory Lanez,120583
Hip-Hop,Kitty,rap,hip hop,307599,Kitty Pryde,Danny Brown + Clams Casino,Kreayshawn,21003
rap,KJ-52,christian,Christian Rap,701563,Tedashii,TobyMac,Lecrae,60772
NA,NA,NA,NA,NA,NA,NA,NA,NA
west coast,KNOC-TURN'AL,Hip-Hop,rap,132104,Soopafly,Bad Azz,Kam,20441
folk,KO,hip hop,Hip-Hop,102503,The Waking Eyes,Michael Bernard Fitzgerald,The Junction,11933
hip hop,Kodak Black,Hip-Hop,rap,744433,LIL UZI VERT,21 Savage,Playboi Carti,50030
rap,Kokane,West Coast Rap,G-funk,145102,Above the Law,Mack 10,Spice 1,28216
NA,NA,NA,NA,NA,NA,NA,NA,NA
east coast rap,Kool G Rap,rap,Hip-Hop,1562469,Kool G Rap & DJ Polo,Masta Ace,AZ,207960
rap,Kool Keith,underground hip-hop,Hip-Hop,1497917,Dr. Dooom,Dr. Octagon,Ultramagnetic MC's,96145
rap,Kool Moe Dee,old school,Hip-Hop,266464,Special Ed,Stetsasonic,Whodini,67218
seen live,Koolade,Hip-Hop,croatian,8423,Tram 11,Nered i stoka,Handbook,1296
Gangsta Rap,Krayzie Bone,Hip-Hop,rap,1090451,Bizzy Bone,Bone Thugs-N-Harmony,Pastor Troy,144825
rap,Kreayshawn,swag,Hip-Hop,2519491,Lil Debbie,Brooke Candy,Rye Rye,199342
rap,Krizz Kaliko,Hip-Hop,Strange Music,1459965,Tech N9ne,Stevie Stone,Kutt Calhoun,119791
hip hop,KRS-One,rap,Hip-Hop,5296610,Boogie Down Productions,Rakim,EPMD,480923
juggalo,Kung Fu Vampire,rap,Horrorcore,67785,DJ Clay,Axe Murder Boyz,Drive-By,9457
rap,Kurious,hip hop,Hip-Hop,101222,Jemini The Gifted One,Scientifik,Ill Biskits,11624
old school,Kurtis Blow,rap,Hip-Hop,710371,Whodini,The Sugarhill Gang,Grandmaster Flash and The Furious Five,178017
Gangsta Rap,Kurupt,Hip-Hop,rap,1504403,Tha Dogg Pound,DJ Quik,Daz Dillinger,262660
rap,Kutt Calhoun,Hip-Hop,Strange Music,610732,Krizz Kaliko,Stevie Stone,Tech N9ne,95022
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Lil' Kim,rap,Hip-Hop,3310162,Foxy Brown,Remy Ma,Trina,430217
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,La Chat,memphis,rap,138937,Indo G,Crunchy Black,Prophet Posse,28110
rap,La the Darkman,wu-tang,Hip-Hop,195993,Hell Razah,Dom Pachino,9th Prince,30029
hip hop,Lady Luck,rap,Hip-Hop,8049,Shadowz In Da Dark,Ran Reed,Pudgee,1684
hip hop,The Lady of Rage,rap,Hip-Hop,108593,Da Brat,Daz Dillinger,Tha Dogg Pound,26315
Queensbridge,Lakey The Kid,new york,rap,3724,Lake Featuring Cormega,Infamous Mobb,Bars & Hooks,289
rap,Lakim Shabazz,old school,Hip-Hop,18373,Steady B,The Real Roxanne,J.V.C. F.O.R.C.E.,3796
new york,Lakutis,rap,Hip-Hop,146875,Kool A.D.,Das Racist,Heems,4572
rap,Large Professor,underground hip-hop,Hip-Hop,879064,Lord Finesse,Kev Brown,Artifacts,83727
NA,NA,NA,NA,NA,NA,NA,NA,NA
female vocalists,Lauryn Hill,Hip-Hop,soul,12768332,Fugees,Erykah Badu,Solange,969625
Lo-Fi,Lazarus,metal,thrash metal,148533,Evile,Warbringer,Forbidden,22472
NA,NA,NA,NA,NA,NA,NA,NA,NA
christian,Lecrae,Hip-Hop,Christian Rap,2295084,Trip Lee,Andy Mineo,Tedashii,96540
underground hip-hop,Left Brain,Hip-Hop,ofwgkta,110270,I Smell Panties,Super 3 Feat. Casey Veggies And Hodgy Beats,Casey Veggies Feat. Tyler Creator,43503
underground hip-hop,Lex Luger,Hip-Hop,rap,18856,Juicy J & Lex Luger,808 Mafia,Cartel MGM,1358
Hip-Hop,Lil Bibby,rap,drill,280545,Lil Herb,Lil Durk,Fredo Santana,11719
swag,Lil B,Hip-Hop,based,6510904,SpaceGhostPurrp,Main Attrakionz,Lil B x Chance The Rapper,193800
swag,Lil Debbie,rap,Hip-Hop,316883,Kreayshawn,Honey Cocaine,Chanel West Coast,15667
comedy,Lil Dicky,rap,Hip-Hop,1248342,Logic,Watsky,Futuristic,75819
Hip-Hop,Lil Durk,rap,drill,737265,Lil Bibby,Lil Reese,Chief Keef,48235
rap,Lil Eazy-E,Hip-Hop,Gangsta Rap,135630,Hood Surgeon,Bloods & Crips,Spider Loc,34192
rap,Lil Herb,drill,Hip-Hop,334965,Lil Bibby,Lil Durk,Lil Reese,9172
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
female vocalists,Lil Mama,rap,Hip-Hop,842465,Lil' Kim,Eve,Foxy Brown,150251
NA,NA,NA,NA,NA,NA,NA,NA,NA
trap,Lil Reese,rap,drill,239096,Fredo Santana,Lil Durk,Chief Keef,21596
west coast,Lil Ric,California,rap,12646,Young Ed,Pizzo,Triple Beam,2947
NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty South,Lil Scrappy,Crunk,rap,585001,YoungBloodz,Trillville,Yung Joc,99171
hip hop,Lil Twist,rap,Hip-Hop,584688,Short Dawg,Gudda Gudda,Jae Millz,236653
alternative trap,LIL UZI VERT,Hip-Hop,trap,1466609,Lil Yachty,Kodak Black,Playboi Carti,71178
NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty South,Lil Wyte,Hip-Hop,rap,1926234,DJ Paul,Three 6 Mafia,Tear da Club Up Thugs,254980
rap,Lil Yachty,hip hop,trap,959790,LIL UZI VERT,Kodak Black,Playboi Carti,46326
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Lil' Cease,Hip-Hop,rap,12758,Queen Pen,Charli Baltimore,Mysonne,2648
hiphop,Lil' Fizz,sexy,rap,4182,Xso,Lil Fizz,O'Ryan,601
Dirty South,Lil' Flip,Hip-Hop,rap,1639720,Paul Wall,T.I.,Slim Thug,324169
Dirty South,Lil' Keke,southern rap,rap,424200,Big Pokey,Guerilla Maab,Lil' O,93425
hip hop,Lil' Kim,rap,Hip-Hop,3310162,Foxy Brown,Remy Ma,Trina,430217
Houston,Lil' O,rap,Dirty South,112535,Big Pokey,Guerilla Maab,Trae & Z-Ro,29695
NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston,Lil' Troy,rap,Hip-Hop,295358,Luniz,YoungBloodz,Bone Thugs-N-Harmony,68773
rap,Lil' Wil,hip hop,Hip-Hop,3869,Lil Willie Gibson,dj mr. rogers,GS Boyz,686
hip hop,Lin Que,rap,Hip-Hop,9086,Mama Mystique,Pudgee Tha Phat Bastard,Paula Perry,1739
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
G-Unit,Lloyd Banks,Hip-Hop,rap,6514834,G-Unit,Tony Yayo,Young Buck,905148
rap,Locksmith,Hip-Hop,funk,88159,Furney,Torae,eMC,13561
deep house,Logic,rap,Hip-Hop,4938912,J. Cole,G-Eazy,Dizzy Wright,164605
female rap,Lola Monroe,Hip-Hop,rap,84609,Jacki-O,Rasheeda,Brianna Perry,6689
Stoner Rock,Loon,Hip-Hop,Sludge,79091,Da Band,M.O.P Feat. Sheritha Lynch,Young Gunz,18096
underground hip-hop,Lord Finesse,rap,Hip-Hop,898816,Lord Finesse & DJ Mike Smooth,O.C.,Showbiz & A.G.,105643
rap,Lord Have Mercy,Hip-Hop,hip hop,11789,Ran Reed,The Bad Seed,Shadowz In Da Dark,2291
rap,Lord Infamous,memphis rap,Horrorcore,222162,Three 6 Mafia,DJ Paul,Evil Pimp,25674
rap,Lord Jamar,new york,Hip-Hop,37663,Wisemen,Lord Jamar (Of Brand Nubian),La the Darkman,3674
drone,Los,doom metal,Hip-Hop,280726,Cyhi Da Prynce,Pries,Phil Ade,18126
rap,louis logic,hip hop,Hip-Hop,598408,The Demigodz,Celph Titled,Apathy,55718
hiphop,Lovebug Starski,rap,Old School Hip Hop,14032,The Fearless Four,Spoonie Gee Meets The Sequence,The Packman,4876
NA,NA,NA,NA,NA,NA,NA,NA,NA
UK hip hop,Lowkey,rap,Hip-Hop,721727,Akala,Immortal Technique,dead prez,42873
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Gangsta Rap,Luni Coleone,hip hop,West Coast Rap,71662,Hollow Tip,Guce,AP.9,17284
NA,NA,NA,NA,NA,NA,NA,NA,NA
90s,Luther Campbell,80s,soul,200,"Can 7, Jen","Florzinho, Mathieu",Sunset Blvd Kids Chorus,44
hip hop,MC Lyte,rap,Hip-Hop,554617,Da Brat,Monie Love,Foxy Brown,118977
rap,Melle Mel,Hip-Hop,hip hop,18656,City Stars,Grandmaster Melle Mel,Busy Bee,6710
rap,MF DOOM,underground hip-hop,Hip-Hop,20344182,Viktor Vaughn,Madvillain,King Geedorah,527384
NA,NA,NA,NA,NA,NA,NA,NA,NA
dead prez,M-1,rap,Hip-Hop,94843,dead prez & Outlawz,Stic.Man,dead prez & DJ Green Lantern,9631
female vocalists,M.I.A.,electronic,Hip-Hop,54417139,Azealia Banks,FKA twigs,Björk,1716773
Hip-Hop,Mac,hip hop,rap,85067,Kane & Abel,Mia X,Soulja Slim,13932
Hip-Hop,Mac Dre,Bay Area,rap,2374111,Keak Da Sneak,Andre Nickatina,Mac Mall,145600
rhymesayers,Mac Lethal,underground hip-hop,Hip-Hop,1288481,Brother Ali,Grieves,Atmosphere,82616
West Coast Rap,Mac Mall,rap,Bay Area,325567,Mac Dre,Dru Down,C-Bo,61708
underground hip-hop,Mac Miller,rap,Hip-Hop,24487159,Isaiah Rashad,Earl Sweatshirt,ScHoolboy Q,878815
NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland,Machine Gun Kelly,rap,Hip-Hop,3170918,MGK,Hopsin,Yelawolf,184031
Gangsta Rap,Mack 10,rap,Hip-Hop,710766,WC,Westside Connection,Tha Eastsidaz,155619
young money,Mack Maine,rap,Hip-Hop,61548,Lil Chuckee,Jae Millz,Gudda Gudda,10011
underground rap,Macklemore,rap,Hip-Hop,3955050,Macklemore & Ryan Lewis,Blue Scholars,Chiddy Bang,274756
ragga,Mad Lion,dancehall,reggae,86578,Buccaneer,Terror Fabulous,Yellowman & Fathead,16685
rap,Madchild,underground hip-hop,Hip-Hop,676914,Swollen Members,Slaine,Snak the Ripper,22817
funk,Madlib,jazz,Hip-Hop,13964214,Yesterday's New Quintet,Jaylib,Quasimoto,381770
rnb,Maejor Ali,Hip-Hop,rap,173696,Justin Bieber,Kid Ink,Soulja Boy,33042
Hip-Hop,Magic,Psychedelic Rock,japanese,203741,C-Murder,Master P,Silkk The Shocker,22909
Louisiana Rap,Magnolia Shorty,New Orleans,bounce,8916,Gotty Boi Chris,10Th Ward Buck,Monsta Wit Da Fade,2581
hip hop,Maino,Hip-Hop,rap,1515716,Styles P,Jim Jones,Jadakiss,326452
west coast,Mann,rap,Hip-Hop,477189,Bow Wow,Diddy,Kid Ink,101444
Dirty South,Mannie Fresh,Hip-Hop,rap,278352,YoungBloodz,Juvenile,Lil' Flip,54642
NA,NA,NA,NA,NA,NA,NA,NA,NA
lesser known yet streamable artists,Mark Battles,rap,Hip-Hop,35463,Dizzy Wright,Chuuwee,Just Juice,3759
hip hop,Marley Marl,rap,Hip-Hop,156036,EPMD,MC Shan,Big Daddy Kane,37311
Bay Area,Marvaless,West Coast Rap,Gangsta Rap,16695,Killa Tay,Lunasicc,Triple Beam,4244
NWOBHM,Marz,Horrorcore,rap,99913,Killa C,Jumpsteady,Monoxide,15811
hip hop,Mase,rap,Hip-Hop,1371227,Diddy,Puff Daddy & The Family,Puff Daddy,269554
Maybach Music,Masspike Miles,Hip-Hop,hip hop,65944,Kevin McCall,Neako,Pries,5783
underground hip-hop,Masta Ace,rap,Hip-Hop,4782582,eMC,O.C.,Kool G Rap,281174
rap,Masta Killa,wu-tang,Hip-Hop,913666,Inspectah Deck,Cappadonna,U-God,117986
NA,NA,NA,NA,NA,NA,NA,NA,NA
garage,Master Shortie,Hip-Hop,rap,164404,K.I.G.,Fugative,Adam Deacon,32103
punk rock,Matt Toka,punk,rock,15558,Bangups,Lost In Society,The Darlings,1130
wavy,Max B,rap,Hip-Hop,1121632,Jim Jones,Cam'ron,The Diplomats,130618
detroit,MC Breed,Hip-Hop,rap,119423,Mack 10,Too $hort,Spice 1,23160
rap,MC Eiht,Hip-Hop,Gangsta Rap,787735,Compton's Most Wanted,Spice 1,South Central Cartel,136864
Nerdcore hip-hop,MC Frontalot,Hip-Hop,nerdcore,2685176,Schaffer the Darklord,MC Lars,Optimus Rhyme,84173
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,MC Lyte,rap,Hip-Hop,554617,Da Brat,Monie Love,Foxy Brown,118977
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
West Coast Rap,MC Ren,Hip-Hop,Gangsta Rap,500629,Above the Law,Eazy-E,The D.O.C.,107050
hip hop,Mc Serch,rap,Hip-Hop,56373,K-Solo,D-Nice,UMC's,10010
old school,MC Shan,rap,Hip-Hop,90507,Schoolly D,Boogie Down Productions,Biz Markie,22045
rap,MC Solaar,french,Hip-Hop,2985622,IAM,Doc Gyneco,Suprême NTM,169108
femc,MC Trouble,female emcees,Hip-Hop,2240,Nefertiti,Another Bad Creation,The Good Girls,515
male,MC Tunes,Hip-Hop,UK,9741,Silver Bullet,Definition Of Sound,Candy Flip,2143
meek mill,Meek Mill,rap,Hip-Hop,5998061,French Montana,Young Jeezy,Rick Ross,508565
rap,Melle Mel,Hip-Hop,hip hop,18656,City Stars,Grandmaster Melle Mel,Busy Bee,6710
latin,Mellow Man Ace,Hip-Hop,rap,46285,Lighter Shade Of Brown,Sen Dog,Tha Mexakinz,12911
hip hop,Memphis Bleek,rap,Hip-Hop,956346,Beanie Sigel,Jim Jones,Freeway,208043
West Coast Rap,Messy Marv,rap,Bay Area,420692,Husalah,J-Diggs,San Quinn,64059
wu-tang,Method Man,rap,Hip-Hop,8723118,Redman,Method Man & Redman,Wu-Tang Clan,721100
Hip-Hop,Metro Boomin,a bigger blacker dick,hip hop,54131,Metro Thuggin,Young Thug,Future,7101
rap,MF DOOM,underground hip-hop,Hip-Hop,20344182,Viktor Vaughn,Madvillain,King Geedorah,527384
rap,MF Grimm,underground hip-hop,Hip-Hop,913046,MF DOOM & MF Grimm,Monsta Island Czars,KMD,73320
hip hop,Mia X,Hip-Hop,rap,48458,Kane & Abel,Mac,Young Bleed,15787
new york,Mic Geronimo,rap,Hip-Hop,168672,Mad Skillz,Cella Dwellas,Artifacts,26635
underground hip-hop,Mick Jenkins,rap,Hip-Hop,1711880,Isaiah Rashad,Kirk Knight,Joey Bada$$,71489
electronic,Mickey Factz,rap,Hip-Hop,633302,Charles Hamilton,Saigon,Fashawn,148012
rock,Mike Dean,Hip-Hop,metal,4784,Kurt Brecht,Lee Dorrian,Max Cavalera,1430
rap,Mike G,ofwgkta,Hip-Hop,705909,MellowHype,Hodgy Beats,OFWGKTA,85499
Dirty South,Mike Jones,Hip-Hop,rap,1989657,Paul Wall,David Banner,Petey Pablo,340689
pop,Mike Posner,rnb,Hip-Hop,10601039,Charlie Puth,Jason Derülo,Flo Rida,986883
alternative rock,Mike Shinoda,rock,Hip-Hop,461387,Chester Bennington,Dead By Sunrise,Linkin Park,122143
trap,Mike Stud,hip hop,Hip-Hop,400167,OCD: Moosh & Twist,Futuristic,Skizzy Mars,40296
NA,NA,NA,NA,NA,NA,NA,NA,NA
drake rap,Mike Zombie,rap,Hip-Hop,24465,Bizzy Crook,Lungz,Kush Kelz,3203
nerd hop,Milo,rap,Hip-Hop,1851312,scallops hotel,Open Mike Eagle,Busdriver,50277
NA,NA,NA,NA,NA,NA,NA,NA,NA
psychedelic trance,Mino,rap francais,psytrance,120745,Psy 4 de la Rime,Soprano,Kery James,12167
Kpop,Miryo,Korean,k-pop,69143,Brown Eyed Girls,Hyolyn,Gain,2968
NA,NA,NA,NA,NA,NA,NA,NA,NA
California,Mista Grimm,Hip-Hop,G-funk,15598,The Dove Shack,"Snoop Dogg, Nate Dogg, Warren",Soopafly,5535
Hip-Hop,Mistah F.A.B.,Bay Area,hyphy,619886,Keak Da Sneak,Mac Dre,E-40,83867
NA,NA,NA,NA,NA,NA,NA,NA,NA
Gangsta Rap,Mitchy Slick,rap,West Coast Rap,81740,Messy Marv & Mitchy Slick,Luni Coleone,Guce,10929
no limit,Mo B. Dick,rnb,rap,6295,Sons Of Funk,Mr. Jinks,Skull Duggrey,1211
seen live,Mod Sun,hippy hop,Hip-Hop,474916,Sam Lachow,Mike Stud,Hoodie Allen,19759
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Monie Love,hip hop,Hip-Hop,115156,MC Lyte,Queen Latifah,Big Daddy Kane,29006
outlawz,Mopreme Shakur,Hip-Hop,rap,3979,Macadoshis,Young Noble & E.D.I.,HARDTIMERZ,622
hip hop,Mos Def,rap,Hip-Hop,21172011,Black Star,Talib Kweli,The Roots,1010222
Hip-Hop,Mr. Capone-e,west coast,Chicano Rap,342175,Lil Cuete,Mr. Sancho,Brown Boy,58855
hip hop,Mr. Cheeks,rap,Hip-Hop,90046,Young Gunz,Lord Tariq & Peter Gunz,G. Dep,23393
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Mr. Criminal,Gangsta Rap,Chicano Rap,304904,Mr. Capone-e,Lil Cuete,Mr. Shadow,24438
hip hop,Mr. Lif,underground hip-hop,Hip-Hop,1631168,Blueprint,El-P,C-Rayz Walz,142225
underground rap,Mr. Muthafuckin' eXquire,rap,Hip-Hop,646414,Das Racist,Lakutis,Billy Woods,27909
hip hop,Mr. Porter,Aftermath,Hip-Hop,7642,Kuniva,Swifty McVay,Quest M.C.O.D.Y,2696
rap,MR. SERV-ON,hip hop,Hip-Hop,18006,Mia X,Skull Duggrey,Young Bleed,3742
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Ms. Jade,Hip-Hop,rap,155299,Charli Baltimore,Jacki-O,"Lisa ""Left Eye"" Lopes",36244
Dirty South,Murphy Lee,Hip-Hop,rap,332919,Unk,Jermaine Dupri,Dem Franchize Boyz,92079
hip hop,Murs,underground hip-hop,Hip-Hop,4468139,Little Brother,Brother Ali,Living Legends,299291
Dirty South,Mystikal,rap,Hip-Hop,1233370,Silkk The Shocker,Master P,Trick Daddy,246347
juggalo,Myzery,rap,Horrorcore,26326,I.C.P.,Jumpsteady,The Hatchet Family,6557
hip hop,Nas,rap,Hip-Hop,44390221,Mobb Deep,AZ,Jay-Z,1841833
rnb,Nicki Minaj,rap,Hip-Hop,54907654,Beyoncé,Iggy Azalea,Rihanna,1866133
NA,NA,NA,NA,NA,NA,NA,NA,NA
Reggaeton,N.O.R.E.,rap,Hip-Hop,1000348,Capone-N-Noreaga,The Lox,Jadakiss,210251
metalcore,Napoleon,hardcore,melodic hardcore,408524,Counterparts,Polar,Seasons In Wreckage,26533
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Nate Dogg,Hip-Hop,G-funk,2515880,213,Warren G,Westside Connection,328757
Hip-Hop,Nature,podcast,rap,403486,Tragedy Khadafi,Cormega,Ras Kass,30669
NA,NA,NA,NA,NA,NA,NA,NA,NA
vocaloid,NAV,Hip-Hop,black metal,219116,Post Malone,Mike Will Made-It,Migos,23338
Horrorcore,Necro,Death Rap,Hip-Hop,5034638,Ill Bill,Mr. Hyde,Non Phixion,185959
NA,NA,NA,NA,NA,NA,NA,NA,NA
rnb,Nelly,rap,Hip-Hop,16366858,Ja Rule,Chingy,Ludacris,1815474
rnb,NF,rap,Hip-Hop,411161,KB,Andy Mineo,Lecrae,30928
rnb,Nick Cannon,rap,Hip-Hop,156805,Dreezy,Baby Bash,Mase,38624
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Nicky Da B,New Orleans,bounce,17690,Sissy Nobby,Gotty Boi Chris,Dj Jubilee,2756
soul,Nicole Wray,female vocalists,rnb,227026,Cheri Dennis,Shareefa,Kiley Dean,56185
female rap,Nikki D,rap,Hip-Hop,12134,Hollis Crew,Downtown Science,Yo-Yo,3846
west coast,Nipsey Hussle,rap,Hip-Hop,1781945,Dom Kennedy,Curren$y,Fabolous,262102
jazz,Nitty,rap,Hip-Hop,124995,Guerilla Black,504 Boyz,Yung Wun,27723
rap,"Nitty Scott, MC",underground hip hop,Hip-Hop,65669,Kinetics & One Love,Emilio Rojas,Boog Brown,6393
USA,NoClue,rap,Hip-Hop,14425,Bazanji,Lungz,Sky 7th,1224
clipse,No Malice,Hip-Hop,hip hop,26922,Maybach Music Group,Social Club,Bizzle,2742
NA,NA,NA,NA,NA,NA,NA,NA,NA
street punk,NoName,hip hop,Hip-Hop,687800,Saba,Isaiah Rashad,Chance the Rapper,44495
female vocalist,Nonchalant,Hip-Hop,rap,27130,Heather B.,Queen Pen,Raw Breed,4634
Gangsta Rap,The Notorious B.I.G.,rap,Hip-Hop,36754813,Nas,2Pac,Jay-Z,1940439
producer,Nottz,underground hip-hop,Hip-Hop,151670,Reks,Kenn Starr,Mello Music Group,17854
Jazz Hop,Nujabes,japanese,Hip-Hop,21401448,Force of Nature,Fat Jon,Uyama Hiroto,226989
Hip-Hop,Nump,hyphy,alternative metal,40825,Dem Hoodstarz,The Team,Turf Talk,8693
rap,Numskull,Hip-Hop,thrash metal,15712,Assorted Heap,Indestroy,Soothsayer,2102
hip hop,Nyzzy Nyce,Hip-Hop,rap,9535,Bazanji,Vee tha Rula,Tdot illdude,1252
hip hop,Obie Trice,Hip-Hop,rap,4304479,D12,Slaughterhouse,G-Unit,785756
rap,Oddisee,underground hip-hop,Hip-Hop,3616235,Diamond District,Mello Music Group,Elzhi,180108
seen live,Offset,russian,ska,19762,Quavo,Zach Farlow,Migos,2115
hip hop,OG Maco,rap,Hip-Hop,445137,Rich The Kid,Waka Flocka Flame,Young Thug,36567
Stones throw,Oh No,underground hip-hop,Hip-Hop,2874017,Madlib,MED,Jaylib,188176
Dirty South,OJ da Juiceman,rap,Hip-Hop,1251637,Young Scooter,Project Pat,Gucci Mane,260562
wu-tang,Ol' Dirty Bastard,rap,Hip-Hop,5848012,Method Man,Wu-Tang Clan,GZA/Genius,535604
africa,Olamide,african,Hip-Hop,45141,Phyno,Ice Prince,Kiss Daniel,3228
NA,NA,NA,NA,NA,NA,NA,NA,NA
Omarion,Omarion,Hip-Hop,rnb,4789350,Trey Songz,August Alsina,Eric Bellinger,785698
black metal,Omega Red,death metal,deathcore,3240,Hereafter An Odyssey,Dead Will Rise,Cholera,507
Philadelphia,Omillio Sparks,rap,hip hop,4797,MAJOR FIGGAS,Prinz,Peedi Crakk,1091
rap,Oneya,hip hop,Hip-Hop,5658,Struka,V.I.P.,Blokovski,266
rap,Open Mike Eagle,underground hip-hop,Hip-Hop,1041118,Milo,Busdriver,Serengeti,49656
NA,NA,NA,NA,NA,NA,NA,NA,NA
pop,Psy,Korean,k-pop,5895789,G-Dragon,Big Bang,Brown Eyed Girls,547951
hip hop,Q-Tip,rap,Hip-Hop,5388969,Slum Village,A Tribe Called Quest,Common,437862
Canadian,P. Reign,canada,rap,189470,Tory Lanez,Amir Obe,French Montana,25637
NA,NA,NA,NA,NA,NA,NA,NA,NA
southern rap,Papa Reu,rnb,USA,6753,Mr. 3-2,C-Note,Big Pokey,1348
new york,Papoose,rap,Hip-Hop,1686885,Saigon,Jadakiss,Styles P,171066
political rap,Paris,rap,Hip-Hop,654661,Above the Law,MC Ren,Spice 1,63060
Crunk,Pastor Troy,rap,Dirty South,1018541,Young Jeezy,Trillville,Project Pat,189974
Dirty South,Paul Wall,Hip-Hop,rap,2085907,Slim Thug,Mike Jones,Bun B,301368
Philadelphia,Peedi Peedi,Hip-Hop,rap,3639,Peedi Crakk,State Property,Young Gunz,744
Hip-Hop,PeeWee Longway,rap,trap,153237,Bankroll Fresh,Young Scooter,Young Dolph,6981
underground hip-hop,Percee P,Stones throw,Hip-Hop,689165,Dudley Perkins,Strong Arm Steady,Lootpack,69596
Dirty South,Petey Pablo,rap,Hip-Hop,1740279,Ying Yang Twins,YoungBloodz,Lil Jon & The East Side Boyz,292562
hip hop,Pharoahe Monch,rap,Hip-Hop,3753052,Organized Konfusion,Talib Kweli,Masta Ace,315428
rap,Pharrell Williams,rnb,Hip-Hop,14731192,N*E*R*D,Justin Timberlake,Robin Thicke,1149253
underground hip-hop,Phat Kat,detroit,Hip-Hop,287875,Frank-N-Dank,Que D,Fat Ray & Black Milk,37636
new york,Phife Dawg,rap,Hip-Hop,107707,Q-Tip,A Tribe Called Quest,Brand Nubian,19167
Bay Area,Philthy Rich,rap,Hip-Hop,159557,Mozzy,The Jacka,J. Stalin,24265
afrobeat,Phyno,nigeria,africa,15443,Olamide,Kiss Daniel,RUNTOWN,1371
atlanta,Pill,Hip-Hop,rap,449461,Rick Ross,Big Boi,Future,117529
Hip-Hop,Pimp C,rap,Dirty South,1140480,UGK,Bun B,Slim Thug,184349
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Planet Asia,rap,Hip-Hop,640553,Roc Marciano,Ras Kass,Termanology,69044
techno,Planetary,rap,Hip-Hop,20588,Doap Nixon,King Syze,Randam Luck,4194
Dirty South,Plies,Hip-Hop,rap,4185499,Yo Gotti,Trick Daddy,Lil Boosie,740051
urban,PNC,rap,Hip-Hop,37573,Nesian Mystik,Smashproof,Team Dynamite,4021
spanish hip-hop,Porta,Hip-Hop,rap,890213,NACH,Nach Scratch,Santaflow,47018
hip hop,Positive K,rap,Hip-Hop,224858,Heavy D & The Boyz,Wreckx-N-Effect,Big Daddy Kane,58357
hip hop,Post Malone,rap,Hip-Hop,1951570,NAV,Travi$ Scott,Drake,143852
hip hop,Pras,rap,Hip-Hop,400465,Kris Kross,Diddy,Skee-Lo,109406
eurodance,Prince Ital Joe,90s,rap,9042,Tn't Party Zone,Prince Ital Joe & Marky Mark,Culture Beat,2356
producer,Prince Paul,hip hop,Hip-Hop,733105,Dr. Octagon,The Beatnuts,Kool Keith,74015
