tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
hip hop,Big Sean,rap,Hip-Hop,15192383,Drake,Migos,J. Cole,1315847
gang starr foundation,Big Shug,rap,Hip-Hop,386270,Blaq Poet,7L & Esoteric,Ed O.G.,53525
West Coast Rap,Big Syke,Hip-Hop,rap,45800,Hussein Fatal,Kadafi,Stormey,5417
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground rap,Billy Woods,rap,Hip-Hop,555316,Armand Hammer,Open Mike Eagle,Busdriver,16762
Dirty South,Birdman,rap,Hip-Hop,5291964,Lil' Wayne,Birdman & Lil' Wayne,Ace Hood,1055640
hip hop,Bishop Nehru,rap,Hip-Hop,263580,NehruvianDOOM,Pro Era,CJ FLY,19243
old school,Biz Markie,rap,Hip-Hop,1416635,Big Daddy Kane,Chubb Rock,EPMD,265087
detroit,Bizarre,Hip-Hop,rap,887457,Proof,D12,Obie Trice,268199
Gangsta Rap,Bizzy Bone,rap,Hip-Hop,996372,Krayzie Bone,Bone Thugs-N-Harmony,Twista,137702
Neo-Soul,BJ The Chicago Kid,rnb,soul,811825,Anderson .Paak,Ro James,Musiq,94172
detroit,Black Milk,underground hip-hop,Hip-Hop,3668096,Elzhi,Little Brother,Slum Village,221866
hip hop,Black Rob,rap,Hip-Hop,411515,Beanie Sigel,Jadakiss,Mase,92021
rap,Black Thought,hip hop,Hip-Hop,101788,Kutmasta Kurt,Big Jaz,Dice Raw,19281
street lordz,Blade Icewood,detroit rap,detroit,23369,Street Lord'z,K-Doe aka K-Deezy,Big Herk,1678
rap,Blaq Poet,underground hip-hop,Hip-Hop,536541,Tragedy Khadafi,D.I.T.C.,Reks,58549
rap,Blaze Ya Dead Homie,juggalo,Horrorcore,782383,Twiztid,Dark Lotus,Insane Clown Posse,96282
Hip-Hop,Blood Raw,rap,Dirty South,366895,U.S.D.A.,Big Kuntry King,Triple C's,126016
chillout,Blu,rap,Hip-Hop,2918113,Blu & Exile,Johnson&Jonson,Elzhi,224029
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Bobby Brackins,hip hop,Hip-Hop,312323,Rayven Justice,Dej Loaf,Iamsu!,73009
hip hop,Bobby Creekwater,Hip-Hop,rap,632157,Benzino,Swifty McVay,Kuniva,280990
hip hop,Bobby Shmurda,rap,Hip-Hop,728427,O.T. Genasis,K Camp,Rich Homie Quan,96024
rap,Bohemia,Czech,Progressive rock,45125,Modrý Efekt,Fermáta,Stromboli,3560
