tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
NA,NA,NA,NA,NA,NA,NA,NA,NA
under 2000 listeners,Big Ed,hip hop,Hip-Hop,13163,MR. SERV-ON,Prime Suspects,Kane & Abel,1745
rap,Big Gipp,hip hop,Hip-Hop,38601,Witchdoctor,Cool Breeze,Slimm Calhoun,8936
H-Town,Big Hawk,rap,Dirty South,10222,A.B.N.,Swisha House,Swishahouse,1256
Southern Hip Hop,Big K.R.I.T.,rap,Hip-Hop,7512648,Curren$y,Jay Rock,Freddie Gibbs,430523
rap,Big Kuntry King,Hip-Hop,Dirty South,192925,Blood Raw,Young Dro & Yung LA,Yung Ralph,61670
Lungcore,Big Lurch,om nom nom,cannibal,29298,Lunasicc,Young Droop,X-Raided,2512
new york,Big L,rap,Hip-Hop,7578163,Big Punisher,Gang Starr,Mobb Deep,514424
Gangsta Rap,Big Mello,Houston,southern rap,93257,Big Pokey,Street Military,Guerilla Maab,20002
hip hop,Big Mike,rap,Hip-Hop,88151,Tela,5th Ward Boyz,Willie D,12222
Houston,Big Moe,Dirty South,rap,450153,Fat Pat,DJ Screw,Z-Ro,77833
new york,Big Noyd,rap,Hip-Hop,304194,Cormega,Tragedy Khadafi,Capone-N-Noreaga,44852
Hip-Hop,Big Pokey,rap,Dirty South,159577,H.A.W.K.,Guerilla Maab,Lil' O,39596
Justus League,Big Pooh,rap,Hip-Hop,67625,L.E.G.A.C.Y.,The Away Team,Chaundon,10793
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Big Scoob,underground hip-hop,Strange Music,234347,Cognito,Skatterman & Snug Brim,57th Street Rogue Dog Villians,52577
southern rap,Big Smo,rap,big smo,77676,Redneck Souljers,Bottleneck,Demun Jones,9816
hip hop,Big Sean,rap,Hip-Hop,15239486,Drake,Migos,J. Cole,1317654
gang starr foundation,Big Shug,rap,Hip-Hop,386316,Blaq Poet,7L & Esoteric,Ed O.G.,53536
West Coast Rap,Big Syke,Hip-Hop,rap,45825,Hussein Fatal,Kadafi,Stormey,5421
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground rap,Billy Woods,rap,Hip-Hop,556756,Armand Hammer,Open Mike Eagle,Busdriver,16795
Dirty South,Birdman,rap,Hip-Hop,5293050,Lil' Wayne,Ace Hood,Young Jeezy,1055759
hip hop,Bishop Nehru,rap,Hip-Hop,264191,NehruvianDOOM,Pro Era,Capital STEEZ,19337
old school,Biz Markie,rap,Hip-Hop,1417968,Big Daddy Kane,Chubb Rock,EPMD,265340
detroit,Bizarre,Hip-Hop,rap,887680,Proof,D12,Ca$his,268233
Gangsta Rap,Bizzy Bone,rap,Hip-Hop,996676,Krayzie Bone,Bone Thugs-N-Harmony,Twista,137716
Neo-Soul,BJ The Chicago Kid,rnb,soul,817554,Anderson .Paak,Ro James,Musiq,94880
detroit,Black Milk,underground hip-hop,Hip-Hop,3671726,Elzhi,Little Brother,Slum Village,222237
hip hop,Black Rob,rap,Hip-Hop,411755,Jadakiss,Mase,Beanie Sigel,92068
rap,Black Thought,hip hop,Hip-Hop,101939,Kutmasta Kurt,Big Jaz,Dice Raw,19290
street lordz,Blade Icewood,detroit rap,detroit,23390,Street Lord'z,K-Doe aka K-Deezy,Big Herk,1679
rap,Blaq Poet,underground hip-hop,Hip-Hop,536701,Tragedy Khadafi,D.I.T.C.,Big Shug,58561
rap,Blaze Ya Dead Homie,juggalo,Horrorcore,782651,Twiztid,Dark Lotus,Insane Clown Posse,96297
Hip-Hop,Blood Raw,rap,Dirty South,366906,U.S.D.A.,Big Kuntry King,Triple C's,126021
chillout,Blu,rap,Hip-Hop,2921173,Blu & Exile,Johnson&Jonson,Elzhi,224251
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Bobby Brackins,hip hop,Hip-Hop,312491,Dej Loaf,Rayven Justice,Kid Ink,73030
hip hop,Bobby Creekwater,Hip-Hop,rap,632196,Benzino,Swifty McVay,Kuniva,281002
hip hop,Bobby Shmurda,rap,Hip-Hop,730592,O.T. Genasis,K Camp,Rich Homie Quan,96353
rap,Bohemia,Czech,Progressive rock,45218,Modrý Efekt,Fermáta,Stromboli,3569
instrumental,Boi-1da,hip hop,Hip-Hop,1278,Just Blaze,Willie the Kid,Cool & Dre,114
Hip-Hop,Boldy James,rap,detroit,155138,Freddie Gibbs,Westside Gunn,Smoke DZA,10577
Crunk,Bone Crusher,Hip-Hop,rap,250664,David Banner,Lil' Flip,Petey Pablo,54634
rap francais,Booba,rap,french rap,2760605,Kaaris,Rohff,Gradur,70178
rap,Boondox,juggalo,Horrorcore,885735,Twiztid,Blaze Ya Dead Homie,Dark Lotus,93324
All,Boosie Badazz,Hip-Hop,rap,193975,Webbie,Yo Gotti,Kevin Gates,16599
detroit,Boss,Hip-Hop,rap,81616,The Lady of Rage,MC Lyte,Binary Star,15195
NA,NA,NA,NA,NA,NA,NA,NA,NA
